主,客,主得,,主失,,客得,,客失,,主10,,客10,,主,客,勝負,,,,,
勇士,馬刺,113.50,0.30,118.80,1.55,112.20,-0.09,117.60,1.19,0.30,-1.08,0.40,-0.59,132.00,95.00,1.00,37.00,5.43,0.00,,
鵜鶘,灰熊,113.90,0.39,112.70,0.08,113.30,0.15,109.30,-0.63,0.50,0.05,0.60,0.46,113.00,102.00,1.00,11.00,0.79,1.00,1.00,11.00
獨行俠,快艇,108.40,-0.91,108.30,-0.97,107.00,-1.24,107.40,-1.05,0.60,0.61,0.60,0.46,103.00,101.00,1.00,2.00,4.98,0.00,,
爵士,尼克,116.00,0.89,112.70,0.08,113.40,0.17,119.60,1.63,0.60,0.61,0.40,-0.59,111.00,118.00,0.00,-7.00,4.22,0.00,,
國王,籃網,118.40,1.46,117.45,1.22,110.10,-0.56,104.30,-1.73,0.60,0.61,0.50,-0.06,153.00,121.00,1.00,32.00,7.29,0.00,,
拓荒者,馬刺,108.70,-0.84,107.30,-1.21,110.20,-0.53,120.20,1.77,0.60,0.61,0.30,-1.12,117.00,110.00,1.00,7.00,7.19,0.00,,
黃蜂,溜馬,104.30,-1.87,112.90,0.13,116.70,0.89,115.50,0.73,0.20,-1.65,0.60,0.46,113.00,125.00,0.00,-12.00,7.79,0.00,,
巫師,雷霆,107.00,-1.24,110.80,-0.37,118.90,1.38,118.10,1.30,0.50,0.05,0.50,-0.06,120.00,121.00,0.00,-1.00,5.27,0.00,,
魔術,灰狼,111.10,-0.27,111.10,-0.30,113.70,0.23,116.60,0.97,0.40,-0.52,0.40,-0.59,108.00,126.00,0.00,-18.00,1.78,1.00,0.00,-18.00
老鷹,賽爾提克,116.60,1.03,113.90,0.37,121.50,1.95,113.70,0.34,0.60,0.61,0.80,1.51,101.00,126.00,0.00,-25.00,7.77,0.00,,
暴龍,熱火,114.00,0.42,111.70,-0.16,113.60,0.21,110.60,-0.34,0.50,0.05,0.60,0.46,112.00,104.00,1.00,8.00,0.58,1.00,1.00,8.00
鵜鶘,公牛,113.90,0.39,111.80,-0.13,111.90,-0.16,111.30,-0.19,0.50,0.05,0.40,-0.59,124.00,110.00,1.00,14.00,0.59,1.00,1.00,14.00
公鹿,騎士,112.40,0.04,109.90,-0.59,115.80,0.70,110.50,-0.37,0.70,1.18,0.60,0.46,113.00,98.00,1.00,15.00,2.56,1.00,1.00,15.00
獨行俠,火箭,107.60,-1.10,107.10,-1.26,108.70,-0.86,117.50,1.17,0.70,1.18,0.10,-2.17,92.00,101.00,0.00,-9.00,11.00,0.00,,
太陽,勇士,113.20,0.23,106.60,-1.38,116.20,0.78,114.90,0.60,0.60,0.61,0.40,-0.59,130.00,119.00,1.00,11.00,3.66,0.00,,
金塊,尼克,117.00,1.12,112.90,0.13,111.80,-0.18,117.60,1.19,0.70,1.18,0.40,-0.59,103.00,106.00,0.00,-3.00,4.47,0.00,,
巫師,熱火,107.30,-1.17,110.20,-0.52,112.10,-0.12,112.00,-0.04,0.50,0.05,0.50,-0.06,107.00,106.00,1.00,1.00,1.65,1.00,1.00,1.00
騎士,黃蜂,115.30,0.72,112.60,0.06,103.60,-1.98,114.10,0.42,0.50,0.05,0.10,-2.17,132.00,122.00,1.00,10.00,9.34,0.00,,
76人,公鹿,108.90,-0.79,105.50,-1.65,111.80,-0.18,108.90,-0.72,0.60,0.61,0.70,0.99,110.00,102.00,1.00,8.00,5.22,0.00,,
火箭,溜馬,108.70,-0.84,115.80,0.83,116.80,0.92,115.30,0.69,0.20,-1.65,0.60,0.46,91.00,99.00,0.00,-8.00,5.61,0.00,,
公牛,魔術,110.50,-0.41,112.80,0.11,112.70,0.02,113.40,0.27,0.30,-1.08,0.40,-0.59,107.00,108.00,0.00,-1.00,1.77,1.00,0.00,-1.00
灰熊,雷霆,111.00,-0.29,109.60,-0.66,119.20,1.44,119.10,1.52,0.50,0.05,0.50,-0.06,121.00,110.00,1.00,11.00,4.93,0.00,,
鵜鶘,賽爾提克,115.20,0.70,110.40,-0.47,121.80,2.01,110.60,-0.34,0.60,0.61,0.90,2.04,109.00,117.00,0.00,-8.00,9.41,0.00,,
獨行俠,金塊,103.90,-1.97,104.70,-1.84,116.30,0.81,110.00,-0.48,0.60,0.61,0.70,0.99,127.00,99.00,1.00,28.00,9.48,0.00,,
爵士,太陽,117.00,1.12,112.80,0.11,112.80,0.04,108.00,-0.92,0.60,0.61,0.60,0.46,134.00,133.00,1.00,1.00,2.70,0.00,,
勇士,尼克,115.80,0.84,116.90,1.09,111.60,-0.23,116.00,0.84,0.30,-1.08,0.50,-0.06,111.00,101.00,1.00,10.00,3.83,0.00,,
湖人,活塞,110.50,-0.41,116.80,1.07,106.10,-1.43,113.20,0.23,0.30,-1.08,0.20,-1.64,128.00,121.00,1.00,7.00,7.28,0.00,,
老鷹,暴龍,113.10,0.20,115.30,0.71,116.20,0.78,110.90,-0.28,0.50,0.05,0.60,0.46,124.00,122.00,1.00,2.00,1.45,1.00,1.00,2.00
溜馬,魔術,116.10,0.91,112.40,0.01,112.20,-0.09,114.80,0.58,0.70,1.18,0.40,-0.59,114.00,113.00,1.00,1.00,2.91,0.00,,
76人,灰狼,109.00,-0.76,103.80,-2.05,112.90,0.06,115.20,0.67,0.70,1.18,0.40,-0.59,109.00,112.00,0.00,-3.00,6.98,0.00,,
拓荒者,爵士,107.80,-1.05,106.30,-1.45,118.00,1.18,113.80,0.36,0.60,0.61,0.60,0.46,113.00,118.00,0.00,-5.00,5.31,0.00,,
快艇,馬刺,106.60,-1.33,103.80,-2.05,107.30,-1.17,119.10,1.52,0.70,1.18,0.20,-1.64,119.00,97.00,1.00,22.00,13.76,0.00,,
太陽,尼克,113.70,0.35,110.30,-0.49,110.90,-0.38,115.00,0.62,0.50,0.05,0.50,-0.06,116.00,95.00,1.00,21.00,0.90,1.00,1.00,21.00
國王,活塞,123.20,2.59,115.20,0.68,105.40,-1.59,114.60,0.53,0.80,1.74,0.10,-2.17,137.00,129.00,1.00,8.00,17.71,0.00,,
巫師,黃蜂,108.60,-0.86,109.60,-0.66,105.00,-1.67,115.80,0.80,0.60,0.61,0.10,-2.17,106.00,102.00,1.00,4.00,9.70,0.00,,
火箭,勇士,106.70,-1.31,113.20,0.20,115.60,0.65,115.00,0.62,0.20,-1.65,0.40,-0.59,120.00,127.00,0.00,-7.00,5.62,0.00,,
